PANGO	REPO	MILESTONE	ISSUE	LABELS	STATE	REASON	UNALIASED
BA.1.23	cov-lineages/pango-designation	321	663	designated	CLOSED	COMPLETED	B.1.1.529.1.23
BA.1.24	cov-lineages/pango-designation	324	666	designated	CLOSED	COMPLETED	B.1.1.529.1.24
BA.2	cov-lineages/pango-designation	178	361	designated	CLOSED	COMPLETED	B.1.1.529.2
BA.2.10	cov-lineages/pango-designation	239	496	designated	CLOSED	COMPLETED	B.1.1.529.2.10
BJ.1	cov-lineages/pango-designation	394	915	designated	CLOSED	COMPLETED	B.1.1.529.2.10.1.1
BA.2.10.2	cov-lineages/pango-designation	286	569	designated	CLOSED	COMPLETED	B.1.1.529.2.10.2
BA.2.10.3	cov-lineages/pango-designation	291	609	designated	CLOSED	COMPLETED	B.1.1.529.2.10.3
BA.2.10.4	cov-lineages/pango-designation	396	898	designated, recommended	CLOSED	COMPLETED	B.1.1.529.2.10.4
BA.2.11	cov-lineages/pango-designation	246	491	designated	CLOSED	COMPLETED	B.1.1.529.2.11
BA.2.12	cov-lineages/pango-designation	249	499	accepted	CLOSED	COMPLETED	B.1.1.529.2.12
BA.2.12.1	cov-lineages/pango-designation	249	499	accepted	CLOSED	COMPLETED	B.1.1.529.2.12.1
BG.1	cov-lineages/pango-designation	348	679	designated	CLOSED	COMPLETED	B.1.1.529.2.12.1.1
BG.2	cov-lineages/pango-designation	351	767	designated	CLOSED	COMPLETED	B.1.1.529.2.12.1.2
BG.3	cov-lineages/pango-designation	354	784	designated	CLOSED	COMPLETED	B.1.1.529.2.12.1.3
BG.5	cov-lineages/pango-designation	381	763	designated	CLOSED	COMPLETED	B.1.1.529.2.12.1.5
BG.6	cov-lineages/pango-designation	387	836	designated	CLOSED	COMPLETED	B.1.1.529.2.12.1.6
BG.7	cov-lineages/pango-designation	491	1157	designated, BA.5	CLOSED	COMPLETED	B.1.1.529.2.12.1.7
BA.2.12.2	cov-lineages/pango-designation	329	686	designated	CLOSED	COMPLETED	B.1.1.529.2.12.2
BA.2.13	cov-lineages/pango-designation	251	531	designated	CLOSED	COMPLETED	B.1.1.529.2.13
BA.2.13.1	cov-lineages/pango-designation	367	785	designated	CLOSED	COMPLETED	B.1.1.529.2.13.1
BA.2.14	cov-lineages/pango-designation	262	512	designated	CLOSED	COMPLETED	B.1.1.529.2.14
BA.2.15	cov-lineages/pango-designation	263	533	designated	CLOSED	COMPLETED	B.1.1.529.2.15
BA.2.16	cov-lineages/pango-designation	264	534	designated	CLOSED	COMPLETED	B.1.1.529.2.16
BA.2.17	cov-lineages/pango-designation	266	520	designated	CLOSED	COMPLETED	B.1.1.529.2.17
BA.2.18	cov-lineages/pango-designation	268	528	designated	CLOSED	COMPLETED	B.1.1.529.2.18
BA.2.19	cov-lineages/pango-designation	270	535	designated	CLOSED	COMPLETED	B.1.1.529.2.19
BA.2.2	cov-lineages/pango-designation	218	430	designated	CLOSED	COMPLETED	B.1.1.529.2.2
BA.2.2.1	cov-lineages/pango-designation	342	675	designated	CLOSED	COMPLETED	B.1.1.529.2.2.1
BA.2.20	cov-lineages/pango-designation	271	544	designated	CLOSED	COMPLETED	B.1.1.529.2.20
BA.2.21	cov-lineages/pango-designation	272	547	designated	CLOSED	COMPLETED	B.1.1.529.2.21
BA.2.22	cov-lineages/pango-designation	273	562	designated	CLOSED	COMPLETED	B.1.1.529.2.22
BA.2.23	cov-lineages/pango-designation	274	546	designated	CLOSED	COMPLETED	B.1.1.529.2.23
BA.2.23.1	cov-lineages/pango-designation	283	532	designated	CLOSED	COMPLETED	B.1.1.529.2.23.1
BA.2.24	cov-lineages/pango-designation	279	600		CLOSED	COMPLETED	B.1.1.529.2.24
BA.2.3.1	cov-lineages/pango-designation	238	495	designated	CLOSED	COMPLETED	B.1.1.529.2.3.1
BA.2.3.11	cov-lineages/pango-designation	334	605	designated	CLOSED	COMPLETED	B.1.1.529.2.3.11
BA.2.3.16	cov-lineages/pango-designation	346	524	designated	CLOSED	COMPLETED	B.1.1.529.2.3.16
BP.1	cov-lineages/pango-designation	432	1009	monitor, designated, BA.2	CLOSED	COMPLETED	B.1.1.529.2.3.16.1
BA.2.3.17	cov-lineages/pango-designation	347	677	designated	CLOSED	COMPLETED	B.1.1.529.2.3.17
BA.2.3.18	cov-lineages/pango-designation	349	687	designated	CLOSED	COMPLETED	B.1.1.529.2.3.18
BA.2.3.19	cov-lineages/pango-designation	369	824	designated	CLOSED	COMPLETED	B.1.1.529.2.3.19
BS.1	cov-lineages/pango-designation	445	1052	monitor, designated, recommended, BA.2	CLOSED	COMPLETED	B.1.1.529.2.3.2.1
BS.1.1	cov-lineages/pango-designation	477	1097	BA.2	CLOSED	COMPLETED	B.1.1.529.2.3.2.1.1
BA.2.3.20	cov-lineages/pango-designation	430	1013	designated, BA.2	CLOSED	COMPLETED	B.1.1.529.2.3.20
CM.1	cov-lineages/pango-designation	500	1129	monitor, recommended, BA.2	CLOSED	COMPLETED	B.1.1.529.2.3.20.1
CM.11	cov-lineages/pango-designation	603	1509	designated, recommended, BA.2.3.20/CM	CLOSED	COMPLETED	B.1.1.529.2.3.20.11
CM.12	cov-lineages/pango-designation	606	1481	designated, recommended, BA.2.3.20/CM	CLOSED	COMPLETED	B.1.1.529.2.3.20.12
CM.2.1	cov-lineages/pango-designation	557	1356	designated, BA.2.3.20/CM	CLOSED	COMPLETED	B.1.1.529.2.3.20.2.1
CM.5.2	cov-lineages/pango-designation	572	1386	monitor, designated, BA.2.3.20/CM	CLOSED	COMPLETED	B.1.1.529.2.3.20.5.2
CM.6.1	cov-lineages/pango-designation	633	1165	monitor, designated, BA.2	CLOSED	COMPLETED	B.1.1.529.2.3.20.6.1
CM.7.1	sars-cov-2-variants/lineage-proposals	4	37	Saltation, Convergent evolution, S:403, designated	CLOSED	COMPLETED	B.1.1.529.2.3.20.7.1
CM.7.1.1	sars-cov-2-variants/lineage-proposals	4	37	Saltation, Convergent evolution, S:403, designated	CLOSED	COMPLETED	B.1.1.529.2.3.20.7.1.1
CM.8.1.4	cov-lineages/pango-designation	705	1554	designated, BA.2.3.20/CM	CLOSED	COMPLETED	B.1.1.529.2.3.20.8.1.4
CM.8.1.5	sars-cov-2-variants/lineage-proposals	342	293	New mutations, designated	CLOSED	COMPLETED	B.1.1.529.2.3.20.8.1.5
DD.1	cov-lineages/pango-designation	533	1287	monitor, designated, BA.2, Saltation	CLOSED	COMPLETED	B.1.1.529.2.3.21.1
BA.2.3.22	cov-lineages/pango-designation	608	1462	designated, recommended, BA.2, Saltation	CLOSED	COMPLETED	B.1.1.529.2.3.22
BA.2.3.5	cov-lineages/pango-designation	301	627	designated	CLOSED	COMPLETED	B.1.1.529.2.3.5
BA.2.3.6	cov-lineages/pango-designation	306	633	designated	CLOSED	COMPLETED	B.1.1.529.2.3.6
BA.2.3.7	cov-lineages/pango-designation	313	643	designated	CLOSED	COMPLETED	B.1.1.529.2.3.7
BA.2.31.1	cov-lineages/pango-designation	464	819	BA.2	CLOSED	COMPLETED	B.1.1.529.2.31.1
BA.2.35	cov-lineages/pango-designation	277	554	designated	CLOSED	COMPLETED	B.1.1.529.2.35
BA.2.36	cov-lineages/pango-designation	278	565	designated	CLOSED	COMPLETED	B.1.1.529.2.36
BA.2.36.1	cov-lineages/pango-designation	378	874	designated	CLOSED	COMPLETED	B.1.1.529.2.36.1
BA.2.37	cov-lineages/pango-designation	280	572	designated	CLOSED	COMPLETED	B.1.1.529.2.37
BA.2.38	cov-lineages/pango-designation	282	541	designated	CLOSED	COMPLETED	B.1.1.529.2.38
BA.2.38	cov-lineages/pango-designation	282	581		CLOSED	COMPLETED	B.1.1.529.2.38
BA.2.38	cov-lineages/pango-designation	282	582		CLOSED	COMPLETED	B.1.1.529.2.38
BA.2.38.1	cov-lineages/pango-designation	363	809	designated	CLOSED	COMPLETED	B.1.1.529.2.38.1
BA.2.38.2	cov-lineages/pango-designation	374	828	designated	CLOSED	COMPLETED	B.1.1.529.2.38.2
BA.2.38.3	cov-lineages/pango-designation	391	840	designated	CLOSED	COMPLETED	B.1.1.529.2.38.3
BH.1	cov-lineages/pango-designation	392	913	designated	CLOSED	COMPLETED	B.1.1.529.2.38.3.1
BA.2.38.4	cov-lineages/pango-designation	505	746	designated, BA.2	CLOSED	COMPLETED	B.1.1.529.2.38.4
BA.2.39	cov-lineages/pango-designation	281	575	designated	CLOSED	COMPLETED	B.1.1.529.2.39
BA.2.40.1	cov-lineages/pango-designation	285	542	designated	CLOSED	COMPLETED	B.1.1.529.2.40.1
BA.2.41	cov-lineages/pango-designation	287	586	designated	CLOSED	COMPLETED	B.1.1.529.2.41
BA.2.42	cov-lineages/pango-designation	293	610	designated	CLOSED	COMPLETED	B.1.1.529.2.42
BA.2.43	cov-lineages/pango-designation	294	612	designated	CLOSED	COMPLETED	B.1.1.529.2.43
BA.2.44	cov-lineages/pango-designation	295	613	designated	CLOSED	COMPLETED	B.1.1.529.2.44
BA.2.45	cov-lineages/pango-designation	297	616	designated	CLOSED	COMPLETED	B.1.1.529.2.45
BA.2.46	cov-lineages/pango-designation	300	626	designated	CLOSED	COMPLETED	B.1.1.529.2.46
BA.2.47	cov-lineages/pango-designation	305	631	designated	CLOSED	COMPLETED	B.1.1.529.2.47
BA.2.48	cov-lineages/pango-designation	307	634	designated	CLOSED	COMPLETED	B.1.1.529.2.48
BA.2.49	cov-lineages/pango-designation	312	640	designated	CLOSED	COMPLETED	B.1.1.529.2.49
BA.2.50	cov-lineages/pango-designation	314	641	designated	CLOSED	COMPLETED	B.1.1.529.2.50
BA.2.51	cov-lineages/pango-designation	315	644	designated	CLOSED	COMPLETED	B.1.1.529.2.51
BA.2.52	cov-lineages/pango-designation	316	648	designated	CLOSED	COMPLETED	B.1.1.529.2.52
BA.2.53	cov-lineages/pango-designation	317	651	designated	CLOSED	COMPLETED	B.1.1.529.2.53
BA.2.54	cov-lineages/pango-designation	319	658	designated	CLOSED	COMPLETED	B.1.1.529.2.54
BA.2.55	cov-lineages/pango-designation	320	660	designated	CLOSED	COMPLETED	B.1.1.529.2.55
BA.2.56	cov-lineages/pango-designation	326	668	designated	CLOSED	COMPLETED	B.1.1.529.2.56
BA.2.56.1	cov-lineages/pango-designation	344	745	designated	CLOSED	COMPLETED	B.1.1.529.2.56.1
BA.2.59	cov-lineages/pango-designation	327	672	designated	CLOSED	COMPLETED	B.1.1.529.2.59
BA.2.60	cov-lineages/pango-designation	332	683	designated	CLOSED	COMPLETED	B.1.1.529.2.60
BA.2.71	cov-lineages/pango-designation	330	695	designated	CLOSED	COMPLETED	B.1.1.529.2.71
BA.2.72	cov-lineages/pango-designation	331	698	designated	CLOSED	COMPLETED	B.1.1.529.2.72
BA.2.73	cov-lineages/pango-designation	340	632	designated	CLOSED	COMPLETED	B.1.1.529.2.73
BA.2.74	cov-lineages/pango-designation	352	775	designated	CLOSED	COMPLETED	B.1.1.529.2.74
BA.2.75	cov-lineages/pango-designation	353	773	designated	CLOSED	COMPLETED	B.1.1.529.2.75
BA.2.75.1	cov-lineages/pango-designation	390	856	designated	CLOSED	COMPLETED	B.1.1.529.2.75.1
BL.1	cov-lineages/pango-designation	413	944	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.1.1
BL.1.1	cov-lineages/pango-designation	453	1079	monitor, accepted, BA.2	CLOSED	COMPLETED	B.1.1.529.2.75.1.1.1
BL.1.2	cov-lineages/pango-designation	454	1066	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.1.1.2
BL.5	cov-lineages/pango-designation	530	1105	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.1.5
BL.6	cov-lineages/pango-designation	599	1531	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.1.6
BA.2.75.2	cov-lineages/pango-designation	406	963	designated	CLOSED	COMPLETED	B.1.1.529.2.75.2
CA.1	cov-lineages/pango-designation	469	1063	monitor, BA.2.75, partially designated	CLOSED	COMPLETED	B.1.1.529.2.75.2.1
CA.3	cov-lineages/pango-designation	510	1136	monitor, BA.2.75, low priority	CLOSED	COMPLETED	B.1.1.529.2.75.2.3
CA.4	cov-lineages/pango-designation	547	1181	monitor, designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.2.4
BA.2.75.3	cov-lineages/pango-designation	409	965	designated	CLOSED	COMPLETED	B.1.1.529.2.75.3
BM.1.1.1	cov-lineages/pango-designation	461	1043	BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.1.1.1
CJ.1	cov-lineages/pango-designation	496	1171	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.1.1.1.1
CJ.1.1	cov-lineages/pango-designation	574	1384	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.1.1.1.1.1
CJ.1.3.1	sars-cov-2-variants/lineage-proposals	341	287	Multiple lineages, designated	CLOSED	COMPLETED	B.1.1.529.2.75.3.1.1.1.1.3.1
CJ.1.3.2	sars-cov-2-variants/lineage-proposals	341	287	Multiple lineages, designated	CLOSED	COMPLETED	B.1.1.529.2.75.3.1.1.1.1.3.2
CV.2	cov-lineages/pango-designation	569	1374	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.1.1.3.2
BM.1.1.4	cov-lineages/pango-designation	611	1438	designated, recommended, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.1.1.4
BM.4	cov-lineages/pango-designation	441	957	monitor, designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4
BM.4.1	cov-lineages/pango-designation	441	957	monitor, designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1
CH.1	cov-lineages/pango-designation	495	1113	recommended, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1
DV.1.1	cov-lineages/pango-designation	688	1720	designated, recommended, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.1.1.1
DV.3.1	cov-lineages/pango-designation	666	1626	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.1.3.1
DV.4	cov-lineages/pango-designation	661	1617	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.1.4
DV.5	cov-lineages/pango-designation	698	1753	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.1.5
DV.6.2	cov-lineages/pango-designation	771	2045	designated	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.1.6.2
DV.6.2	sars-cov-2-variants/lineage-proposals	328	116	To be proposed, Convergent evolution, S:613, Interesting diversity in the tree, designated	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.1.6.2
DV.7	cov-lineages/pango-designation	772	2038	designated	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.1.7
DV.7.1	sars-cov-2-variants/lineage-proposals	322	135	To be proposed, Convergent evolution, S:456, designated	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1
DV.7.1.1	sars-cov-2-variants/lineage-proposals	120	732	designated, FLip, FCS, S:679	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.1
DV.7.1.2	cov-lineages/pango-designation	818	2258		CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.2
DV.7.1.2	sars-cov-2-variants/lineage-proposals	355	697	Mutations outside spike, designated, FLip	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.2
JV.1	sars-cov-2-variants/lineage-proposals	176	760	designated, FLip, s:485	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.2.1
DV.7.1.3	sars-cov-2-variants/lineage-proposals	182	851	designated, FLip, S:262	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.3
DV.7.1.5	sars-cov-2-variants/lineage-proposals	183	729	To be proposed, designated, FLip	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.5
KG.1	sars-cov-2-variants/lineage-proposals	369	951	S:452, S:444, designated, FLip, S:153	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.5.1
DV.7.1.6	sars-cov-2-variants/lineage-proposals	260	765	designated, FLip, S:183	CLOSED	NOT_PLANNED	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.6
DV.7.1.8	sars-cov-2-variants/lineage-proposals	370	860	New mutations, designated, FLip	CLOSED	NOT_PLANNED	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.8
FS.1	cov-lineages/pango-designation	730	1816	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.12.1
CH.1.1.15	cov-lineages/pango-designation	678	1726	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.15
CH.1.1.16	cov-lineages/pango-designation	698	1753	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.16
CH.1.1.17	cov-lineages/pango-designation	698	1753	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.17
FK.1	cov-lineages/pango-designation	711	1718	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.17.1
FK.1.1	cov-lineages/pango-designation	722	1881	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.17.1.1
FK.1.1.1	sars-cov-2-variants/lineage-proposals	33	368	designated, S:445	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.17.1.1.1
JL.1	sars-cov-2-variants/lineage-proposals	108	533	To be proposed, Convergent evolution, designated	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.17.1.3.2.1
FK.1.4.1	sars-cov-2-variants/lineage-proposals	34	88	New mutations, designated	CLOSED	NOT_PLANNED	B.1.1.529.2.75.3.4.1.1.1.1.17.1.4.1
CH.1.1.22	cov-lineages/pango-designation	709	1670	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.22
CH.1.1.23	cov-lineages/pango-designation	720	1862	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.23
CH.1.1.3	cov-lineages/pango-designation	578	1405	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.3
GQ.1	cov-lineages/pango-designation	782	1872	BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.3.1
JP.1	sars-cov-2-variants/lineage-proposals	132	655	Rapid review needed, S:403, partially designated	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.31.1
CH.1.1.32	cov-lineages/pango-designation	821	2150		CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.32
CH.1.1.32	sars-cov-2-variants/lineage-proposals	134	327	New mutations, designated	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.32
CH.1.1.4	cov-lineages/pango-designation	600	1370	monitor, designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.4
CH.1.1.5	cov-lineages/pango-designation	615	1539	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.1.1.5
CH.3	cov-lineages/pango-designation	566	1375	designated, BA.2.75	CLOSED	COMPLETED	B.1.1.529.2.75.3.4.1.1.3
